#     t                x                y                z                vx               vy               vz               m
      1.12496100      -0.09101449      -0.95020021      -0.01370736       1.03567456       0.00623360      -0.02297014       0.85595494 
      1.13996048      -0.07546132      -0.94997615      -0.01405250       1.03811568       0.02369476      -0.02304811       0.85403434 
      1.15495996      -0.05987336      -0.94948889      -0.01439870       1.04030153       0.04123071      -0.02311071       0.85211374 
      1.16995944      -0.04425457      -0.94873831      -0.01474573       1.04222938       0.05883803      -0.02315776       0.85019314 
      1.18495892      -0.02860886      -0.94772338      -0.01509334       1.04389562       0.07651350      -0.02318908       0.84827253 
      1.19995840      -0.01294015      -0.94644309      -0.01544130       1.04529659       0.09425376      -0.02320447       0.84635193 
      1.21495788       0.00274758      -0.94489594      -0.01578936       1.04642810       0.11205542      -0.02320374       0.84443133 
      1.22995736       0.01845026      -0.94308093      -0.01613731       1.04728640       0.12991485      -0.02318672       0.84251073 
      1.24495684       0.03416372      -0.94099789      -0.01648486       1.04786857       0.14782810      -0.02315330       0.84059013 
      1.25995632       0.04988382      -0.93864604      -0.01683180       1.04817106       0.16579126      -0.02310337       0.83866953 
      1.27495580       0.06560634      -0.93602466      -0.01717786       1.04819033       0.18380024      -0.02303681       0.83674893 
      1.28995528       0.08132700      -0.93313222      -0.01752279       1.04792195       0.20185089      -0.02295346       0.83482833 
      1.30495476       0.09704144      -0.92996865      -0.01786635       1.04736304       0.21993871      -0.02285327       0.83290773 
      1.31995424       0.11274532      -0.92653377      -0.01820828       1.04651060       0.23805909      -0.02273618       0.83098712 
      1.33495372       0.12843420      -0.92282716      -0.01854833       1.04536131       0.25620726      -0.02260213       0.82906652 
      1.34995320       0.14410363      -0.91884841      -0.01888624       1.04391196       0.27437833      -0.02245107       0.82714592 
      1.36495268       0.15974895      -0.91459603      -0.01922175       1.04215801       0.29256724      -0.02228287       0.82522532 
      1.37995216       0.17536567      -0.91007094      -0.01955461       1.04009773       0.31076863      -0.02209760       0.82330472 
      1.39495164       0.19094923      -0.90527304      -0.01988456       1.03772819       0.32897709      -0.02189521       0.82138413 
      1.40995112       0.20649493      -0.90020228      -0.02021136       1.03504653       0.34718696      -0.02167572       0.81946353 
      1.42495060       0.22199805      -0.89485837      -0.02053474       1.03204969       0.36539243      -0.02143911       0.81754293 
      1.43995008       0.23745372      -0.88924076      -0.02085442       1.02873428       0.38358749      -0.02118535       0.81562233 
      1.45494956       0.25285730      -0.88335063      -0.02117018       1.02509896       0.40176597      -0.02091452       0.81370173 
      1.46994904       0.26820400      -0.87718825      -0.02148175       1.02114140       0.41992154      -0.02062665       0.81178112 
      1.48494852       0.28348897      -0.87075403      -0.02178888       1.01685945       0.43804769      -0.02032181       0.80986052 
      1.49994800       0.29870717      -0.86404782      -0.02209131       1.01225038       0.45613762      -0.01999998       0.80793992 
      1.51494748       0.31385369      -0.85707023      -0.02238877       1.00731237       0.47418444      -0.01966127       0.80601932 
      1.52994696       0.32892373      -0.84982257      -0.02268104       1.00204456       0.49218118      -0.01930576       0.80409872 
      1.54494644       0.34391234      -0.84230566      -0.02296784       0.99644553       0.51012066      -0.01893356       0.80217812 
      1.55994592       0.35881458      -0.83452040      -0.02324895       0.99051408       0.52799555      -0.01854475       0.80025752 
      1.57494540       0.37362511      -0.82646687      -0.02352409       0.98424806       0.54579801      -0.01813941       0.79833692 
      1.58994488       0.38833914      -0.81814688      -0.02379302       0.97764753       0.56352055      -0.01771767       0.79641632 
      1.60494436       0.40295173      -0.80956197      -0.02405551       0.97071235       0.58115545      -0.01727969       0.79449571 
      1.61994384       0.41745790      -0.80071351      -0.02431132       0.96344226       0.59869477      -0.01682562       0.79257511 
      1.63494332       0.43185262      -0.79160294      -0.02456020       0.95583725       0.61613045      -0.01635559       0.79065451 
      1.64994280       0.44613033      -0.78223078      -0.02480188       0.94789614       0.63345379      -0.01586972       0.78873391 
      1.66494228       0.46028653      -0.77259992      -0.02503618       0.93962102       0.65065695      -0.01536823       0.78681331 
      1.67994176       0.47431624      -0.76271222      -0.02526284       0.93101273       0.66773159      -0.01485133       0.78489271 
      1.69494124       0.48821445      -0.75256967      -0.02548163       0.92207247       0.68466923      -0.01431919       0.78297211 
      1.70994072       0.50197605      -0.74217406      -0.02569233       0.91280125       0.70146114      -0.01377201       0.78105151 
      1.72494020       0.51559578      -0.73152715      -0.02589470       0.90320025       0.71809839      -0.01320999       0.77913091 
      1.73993968       0.52906918      -0.72063215      -0.02608853       0.89327268       0.73457279      -0.01263339       0.77721030 
      1.75493916       0.54239139      -0.70949155      -0.02627362       0.88302098       0.75087570      -0.01204246       0.77528970 
      1.76993864       0.55555757      -0.69810799      -0.02644974       0.87244795       0.76699841      -0.01143744       0.77336910 
      1.78493812       0.56856251      -0.68648363      -0.02661666       0.86155594       0.78293173      -0.01081857       0.77144850 
      1.79993760       0.58140153      -0.67462149      -0.02677420       0.85034859       0.79866705      -0.01018613       0.76952790 
      1.81493708       0.59407026      -0.66252511      -0.02692216       0.83883040       0.81419607      -0.00954041       0.76760730 
      1.82993656       0.60656410      -0.65019762      -0.02706035       0.82700557       0.82951022      -0.00888172       0.76568670 
      1.84493604       0.61887848      -0.63764230      -0.02718856       0.81487864       0.84460098      -0.00821034       0.76376610 
      1.85993552       0.63100820      -0.62486174      -0.02730659       0.80245344       0.85945896      -0.00752657       0.76184550 
      1.87493500       0.64294938      -0.61186015      -0.02741427       0.78973610       0.87407649      -0.00683073       0.75992489 
      1.88993448       0.65469783      -0.59864136      -0.02751143       0.77673253       0.88844550      -0.00612318       0.75800429 
      1.90493396       0.66624931      -0.58520918      -0.02759791       0.76344868       0.90255791      -0.00540425       0.75608369 
      1.91993344       0.67759962      -0.57156740      -0.02767353       0.74989078       0.91640572      -0.00467428       0.75416309 
      1.93493292       0.68874387      -0.55771929      -0.02773808       0.73606453       0.92998004      -0.00393359       0.75224249 
      1.94993240       0.69967897      -0.54366987      -0.02779145       0.72197808       0.94327444      -0.00318257       0.75032189 
      1.96493188       0.71040108      -0.52942336      -0.02783349       0.70763878       0.95628158      -0.00242160       0.74840129 
      1.97993136       0.72090646      -0.51498414      -0.02786407       0.69305433       0.96899432      -0.00165105       0.74648070 
      1.99493084       0.73119118      -0.50035637      -0.02788300       0.67823233       0.98140534      -0.00087127       0.74456010 
      2.00993032       0.74125138      -0.48554439      -0.02789015       0.66318082       0.99350750      -0.00008264       0.74263949 
      2.02492980       0.75108436      -0.47055340      -0.02788541       0.64790908       1.00529544       0.00071443       0.74071889 
      2.03992928       0.76068691      -0.45538815      -0.02786867       0.63242599       1.01676310       0.00151955       0.73879829 
      2.05492876       0.77005591      -0.44005351      -0.02783981       0.61674071       1.02790478       0.00233234       0.73687769 
      2.06992824       0.77918777      -0.42455393      -0.02779869       0.60086210       1.03871420       0.00315242       0.73495709 
      2.08492772       0.78807985      -0.40889459      -0.02774519       0.58480001       1.04918658       0.00397938       0.73303649 
      2.09992720       0.79672994      -0.39308089      -0.02767926       0.56856468       1.05931785       0.00481283       0.73111589 
