         # x	           y	           z	          vx	          vy	          vz
   0.7976796	  -0.6241769	   0.0000090	   0.6000684	   0.7839073	  -0.0000131
   0.8066157	  -0.6123218	   0.0000088	   0.5884572	   0.7928566	  -0.0000132
   0.8153762	  -0.6003333	   0.0000086	   0.5767124	   0.8016374	  -0.0000134
   0.8239592	  -0.5882141	   0.0000084	   0.5648362	   0.8102479	  -0.0000135
   0.8323625	  -0.5759667	   0.0000082	   0.5528310	   0.8186860	  -0.0000136
   0.8405845	  -0.5635937	   0.0000080	   0.5406992	   0.8269497	  -0.0000137
   0.8486230	  -0.5510977	   0.0000078	   0.5284433	   0.8350373	  -0.0000138
   0.8564763	  -0.5384815	   0.0000075	   0.5160657	   0.8429467	  -0.0000140
   0.8641426	  -0.5257477	   0.0000073	   0.5035689	   0.8506762	  -0.0000141
   0.8716201	  -0.5128991	   0.0000071	   0.4909553	   0.8582239	  -0.0000142
   0.8789071	  -0.4999383	   0.0000069	   0.4782276	   0.8655880	  -0.0000143
   0.8860019	  -0.4868682	   0.0000067	   0.4653883	   0.8727668	  -0.0000144
   0.8929027	  -0.4736915	   0.0000065	   0.4524400	   0.8797585	  -0.0000145
   0.8996081	  -0.4604112	   0.0000063	   0.4393853	   0.8865615	  -0.0000146
   0.9061163	  -0.4470299	   0.0000060	   0.4262269	   0.8931740	  -0.0000146
   0.9124260	  -0.4335507	   0.0000058	   0.4129674	   0.8995946	  -0.0000147
   0.9185355	  -0.4199763	   0.0000056	   0.3996095	   0.9058215	  -0.0000148
   0.9244434	  -0.4063098	   0.0000054	   0.3861560	   0.9118533	  -0.0000149
   0.9301483	  -0.3925541	   0.0000051	   0.3726097	   0.9176883	  -0.0000150
   0.9356489	  -0.3787121	   0.0000049	   0.3589733	   0.9233252	  -0.0000150
   0.9409437	  -0.3647869	   0.0000047	   0.3452496	   0.9287625	  -0.0000151
   0.9460315	  -0.3507814	   0.0000045	   0.3314414	   0.9339987	  -0.0000152
   0.9509111	  -0.3366987	   0.0000042	   0.3175516	   0.9390326	  -0.0000152
   0.9555812	  -0.3225418	   0.0000040	   0.3035831	   0.9438627	  -0.0000153
