         # x	           y	           z	          vx	          vy	          vz
   0.6903310	  -0.5639790	  -0.0184797	   0.7306938	   0.8988477	  -0.0060161
   0.7023728	  -0.5488892	  -0.0185764	   0.7143193	   0.9119320	  -0.0055805
   0.7023728	  -0.5488892	  -0.0185764	   0.7215295	   0.9248176	  -0.0063142
   0.7142594	  -0.5333695	  -0.0186780	   0.7048741	   0.9375418	  -0.0058762
   0.7258662	  -0.5176409	  -0.0187722	   0.6879463	   0.9498958	  -0.0054360
   0.7371887	  -0.5017095	  -0.0188592	   0.6707573	   0.9618719	  -0.0049939
   0.7482226	  -0.4855818	  -0.0189387	   0.6533189	   0.9734625	  -0.0045501
   0.7589639	  -0.4692641	  -0.0190108	   0.6356428	   0.9846609	  -0.0041051
   0.7694088	  -0.4527631	  -0.0190755	   0.6177412	   0.9954605	  -0.0036590
   0.7795534	  -0.4360855	  -0.0191328	   0.5996265	   1.0058554	  -0.0032121
   0.7893945	  -0.4192380	  -0.0191826	   0.5813112	   1.0158402	  -0.0027648
   0.7989287	  -0.4022276	  -0.0192249	   0.5628080	   1.0254100	  -0.0023174
   0.7989287	  -0.4022276	  -0.0192249	   0.5691333	   1.0394401	   0.0000212
   0.8082586	  -0.3848274	  -0.0192208	   0.5504537	   1.0485878	   0.0004680
   0.8172756	  -0.3672783	  -0.0192093	   0.5316094	   1.0573068	   0.0009135
   0.8259774	  -0.3495874	  -0.0191904	   0.5126144	   1.0655935	   0.0013574
   0.8343614	  -0.3317621	  -0.0191641	   0.4934825	   1.0734448	   0.0017993
   0.8424256	  -0.3138096	  -0.0191304	   0.4742274	   1.0808582	   0.0022391
   0.8501679	  -0.2957372	  -0.0190895	   0.4548632	   1.0878319	   0.0026764
   0.8575866	  -0.2775523	  -0.0190412	   0.4354036	   1.0943647	   0.0031109
   0.8646804	  -0.2592621	  -0.0189858	   0.4158624	   1.1004556	   0.0035423
   0.8714478	  -0.2408741	  -0.0189232	   0.3962534	   1.1061047	   0.0039705
   0.8714478	  -0.2408741	  -0.0189232	   0.4021089	   1.1195700	   0.0071983
   0.8779856	  -0.2221713	  -0.0187997	   0.3824458	   1.1247747	   0.0076223
   0.8841954	  -0.2033854	  -0.0186692	   0.3627426	   1.1295331	   0.0080413
   0.8900765	  -0.1845240	  -0.0185317	   0.3430134	   1.1338467	   0.0084549
   0.8956287	  -0.1655943	  -0.0183874	   0.3232719	   1.1377176	   0.0088631
   0.9008519	  -0.1466038	  -0.0182363	   0.3035317	   1.1411483	   0.0092655
   0.9057461	  -0.1275598	  -0.0180786	   0.2838062	   1.1441420	   0.0096620
   0.9103119	  -0.1084695	  -0.0179143	   0.2641083	   1.1467024	   0.0100524
   0.9145497	  -0.0893401	  -0.0177435	   0.2444508	   1.1488334	   0.0104366
   0.9184603	  -0.0701787	  -0.0175664	   0.2248461	   1.1505398	   0.0108142
   0.9184603	  -0.0701787	  -0.0175664	   0.2271149	   1.1555144	   0.0127515
   0.9220825	  -0.0509095	  -0.0173508	   0.2075758	   1.1568001	   0.0131222
   0.9253796	  -0.0316224	  -0.0171291	   0.1881146	   1.1576698	   0.0134854
   0.9283532	  -0.0123241	  -0.0169014	   0.1687430	   1.1581293	   0.0138411
   0.9310048	   0.0069784	  -0.0166678	   0.1494721	   1.1581850	   0.0141890
   0.9333361	   0.0262785	  -0.0164284	   0.1303126	   1.1578435	   0.0145291
   0.9353491	   0.0455696	  -0.0161835	   0.1112749	   1.1571118	   0.0148614
   0.9370458	   0.0648454	  -0.0159331	   0.0923688	   1.1559972	   0.0151857
   0.9384287	   0.0840995	  -0.0156774	   0.0736039	   1.1545073	   0.0155019
   0.9395001	   0.1033256	  -0.0154165	   0.0549891	   1.1526497	   0.0158102
   0.9395001	   0.1033256	  -0.0154165	   0.0551968	   1.1550863	   0.0165905
   0.9402659	   0.1225584	  -0.0151374	   0.0367409	   1.1528689	   0.0168905
   0.9407256	   0.1417513	  -0.0148535	   0.0184525	   1.1502994	   0.0171821
   0.9408820	   0.1608985	  -0.0145648	   0.0003391	   1.1473862	   0.0174653
   0.9407380	   0.1799943	  -0.0142714	  -0.0175918	   1.1441380	   0.0177401
   0.9402967	   0.1990333	  -0.0139735	  -0.0353333	   1.1405634	   0.0180065
   0.9395613	   0.2180100	  -0.0136713	  -0.0528790	   1.1366712	   0.0182645
   0.9385352	   0.2369193	  -0.0133648	  -0.0702230	   1.1324703	   0.0185142
   0.9372218	   0.2557560	  -0.0130542	  -0.0873595	   1.1279696	   0.0187555
   0.9356245	   0.2745154	  -0.0127396	  -0.1042834	   1.1231782	   0.0189886
   0.9356245	   0.2745154	  -0.0127396	  -0.1045720	   1.1239873	   0.0194346
   0.9337422	   0.2932059	  -0.0124139	  -0.1212786	   1.1189139	   0.0196594
   0.9315833	   0.3118097	  -0.0120844	  -0.1377634	   1.1135674	   0.0198759
   0.9291515	   0.3303221	  -0.0117514	  -0.1540225	   1.1079568	   0.0200842
   0.9264506	   0.3487389	  -0.0114150	  -0.1700522	   1.1020910	   0.0202843
   0.9234846	   0.3670558	  -0.0110753	  -0.1858493	   1.0959790	   0.0204763
   0.9202572	   0.3852689	  -0.0107325	  -0.2014109	   1.0896295	   0.0206604
   0.9167724	   0.4033743	  -0.0103867	  -0.2167346	   1.0830513	   0.0208366
